Venue,Court,Date,Time Start,Time End
Venue 3,Court 1,2020-03-28,21h30,22h35
Venue 0,Court 0,2020-03-29,15h50,22h35
Venue 1,Court 0,2020-03-29,15h35,16h35
Venue 1,Court 0,2020-03-29,17h30,21h15
Venue 1,Court 0,2020-03-29,21h15,22h45
Venue 2,Court 0,2020-03-29,14h25,21h50
Venue 2,Court 0,2020-03-29,21h50,22h50
Venue 2,Court 1,2020-03-29,15h50,16h50
Venue 2,Court 1,2020-03-29,21h40,22h45
Venue 3,Court 0,2020-03-29,09h20,20h15
Venue 3,Court 0,2020-03-29,21h45,22h50
Venue 3,Court 1,2020-03-29,08h30,15h20
Venue 3,Court 1,2020-03-29,17h40,20h45
Venue 3,Court 1,2020-03-29,20h45,22h30
Venue 0,Court 0,2020-03-30,15h30,19h40
Venue 0,Court 0,2020-03-30,19h45,22h10
Venue 1,Court 0,2020-03-30,19h30,21h10
Venue 1,Court 0,2020-03-30,21h35,22h35
Venue 2,Court 0,2020-03-30,21h00,22h45
Venue 2,Court 1,2020-03-30,10h35,18h20
Venue 2,Court 1,2020-03-30,21h20,22h35
Venue 3,Court 0,2020-03-30,21h30,22h30
Venue 3,Court 1,2020-03-30,19h25,20h40
Venue 3,Court 1,2020-03-30,21h50,22h50
Venue 0,Court 0,2020-03-31,17h45,20h05
Venue 0,Court 0,2020-03-31,20h20,22h45
Venue 1,Court 0,2020-03-31,13h15,21h15
Venue 1,Court 0,2020-03-31,21h40,22h45
Venue 2,Court 0,2020-03-31,10h15,20h55
Venue 2,Court 0,2020-03-31,21h15,22h50
Venue 2,Court 1,2020-03-31,10h10,22h35
Venue 3,Court 0,2020-03-31,11h00,22h40
Venue 3,Court 1,2020-03-31,15h00,19h55
Venue 3,Court 1,2020-03-31,20h00,22h40
Venue 0,Court 0,2020-04-01,10h25,19h40
Venue 0,Court 0,2020-04-01,19h45,21h30
Venue 0,Court 0,2020-04-01,21h45,22h50
Venue 1,Court 0,2020-04-01,13h30,18h20
Venue 1,Court 0,2020-04-01,21h55,22h55
Venue 2,Court 0,2020-04-01,10h50,21h15
Venue 2,Court 0,2020-04-01,21h35,22h50
Venue 2,Court 1,2020-04-01,17h20,19h35
Venue 2,Court 1,2020-04-01,21h05,22h35
Venue 3,Court 0,2020-04-01,09h50,20h45
Venue 3,Court 0,2020-04-01,21h35,22h40
Venue 3,Court 1,2020-04-01,18h20,20h50
Venue 3,Court 1,2020-04-01,21h00,22h15
Venue 0,Court 0,2020-04-02,17h10,20h20
Venue 0,Court 0,2020-04-02,20h45,22h25
Venue 1,Court 0,2020-04-02,12h45,20h55
Venue 1,Court 0,2020-04-02,20h55,22h25
Venue 2,Court 0,2020-04-02,09h25,14h00
Venue 2,Court 0,2020-04-02,18h35,20h25
Venue 2,Court 0,2020-04-02,20h25,21h50
Venue 2,Court 0,2020-04-02,21h50,22h50
Venue 2,Court 1,2020-04-02,12h10,14h40
Venue 2,Court 1,2020-04-02,20h05,21h45
Venue 2,Court 1,2020-04-02,21h45,22h50
Venue 3,Court 0,2020-04-02,18h05,21h30
Venue 3,Court 0,2020-04-02,21h30,22h45
Venue 3,Court 1,2020-04-02,10h25,20h10
Venue 3,Court 1,2020-04-02,21h15,22h40
Venue 0,Court 0,2020-04-03,08h30,14h10
Venue 0,Court 0,2020-04-03,20h35,22h50
Venue 1,Court 0,2020-04-03,16h50,20h55
Venue 1,Court 0,2020-04-03,21h20,22h35
Venue 2,Court 0,2020-04-03,17h05,19h10
Venue 2,Court 0,2020-04-03,21h55,22h55
Venue 2,Court 1,2020-04-03,18h55,22h40
Venue 3,Court 0,2020-04-03,17h00,21h05
Venue 3,Court 0,2020-04-03,21h50,22h50
Venue 3,Court 1,2020-04-03,10h10,12h05
Venue 3,Court 1,2020-04-03,18h35,21h40
Venue 3,Court 1,2020-04-03,21h50,22h50
Venue 0,Court 0,2020-04-04,13h40,17h55
Venue 0,Court 0,2020-04-04,18h50,21h50
Venue 0,Court 0,2020-04-04,21h55,22h55
Venue 1,Court 0,2020-04-04,11h15,19h10
Venue 1,Court 0,2020-04-04,19h25,22h15
Venue 2,Court 0,2020-04-04,14h45,20h15
Venue 2,Court 0,2020-04-04,20h50,22h45
Venue 2,Court 1,2020-04-04,11h10,22h20
Venue 3,Court 0,2020-04-04,14h50,19h10
Venue 3,Court 0,2020-04-04,19h25,21h45
Venue 3,Court 0,2020-04-04,21h45,22h45
Venue 3,Court 1,2020-04-04,17h05,21h00
Venue 3,Court 1,2020-04-04,21h00,22h25
Venue 0,Court 0,2020-04-05,08h55,20h35
Venue 0,Court 0,2020-04-05,21h25,22h35
Venue 1,Court 0,2020-04-05,09h55,19h20
Venue 1,Court 0,2020-04-05,21h55,22h55
Venue 2,Court 0,2020-04-05,12h25,21h30
Venue 2,Court 0,2020-04-05,21h35,22h45
Venue 2,Court 1,2020-04-05,18h10,21h45
Venue 2,Court 1,2020-04-05,21h50,22h50
Venue 3,Court 0,2020-04-05,20h30,22h30
Venue 3,Court 1,2020-04-05,17h05,20h35
Venue 3,Court 1,2020-04-05,21h20,22h20
Venue 0,Court 0,2020-04-06,11h15,14h25
Venue 0,Court 0,2020-04-06,14h35,19h25
Venue 0,Court 0,2020-04-06,21h40,22h50
Venue 1,Court 0,2020-04-06,10h20,20h00
Venue 1,Court 0,2020-04-06,21h10,22h10
Venue 2,Court 0,2020-04-06,16h30,22h25
Venue 2,Court 1,2020-04-06,10h30,17h25
Venue 2,Court 1,2020-04-06,20h45,22h15
Venue 3,Court 0,2020-04-06,18h50,19h55
Venue 3,Court 0,2020-04-06,20h55,22h25
Venue 3,Court 1,2020-04-06,18h55,21h10
Venue 3,Court 1,2020-04-06,21h55,22h55
Venue 0,Court 0,2020-04-07,13h50,21h25
Venue 0,Court 0,2020-04-07,21h50,22h50
Venue 1,Court 0,2020-04-07,20h30,21h35
Venue 1,Court 0,2020-04-07,21h40,22h40
Venue 2,Court 0,2020-04-07,11h00,19h30
Venue 2,Court 0,2020-04-07,21h05,22h30
Venue 2,Court 1,2020-04-07,08h45,20h45
Venue 2,Court 1,2020-04-07,20h45,22h50
Venue 3,Court 0,2020-04-07,20h15,21h35
Venue 3,Court 0,2020-04-07,21h40,22h40
Venue 3,Court 1,2020-04-07,12h50,18h35
Venue 3,Court 1,2020-04-07,19h20,22h45
Venue 0,Court 0,2020-04-08,11h30,18h00
Venue 0,Court 0,2020-04-08,20h15,22h15
Venue 1,Court 0,2020-04-08,12h00,18h05
Venue 1,Court 0,2020-04-08,20h25,21h35
Venue 1,Court 0,2020-04-08,21h35,22h50
Venue 2,Court 0,2020-04-08,19h05,22h30
Venue 2,Court 1,2020-04-08,18h05,20h20
Venue 2,Court 1,2020-04-08,20h45,21h50
Venue 2,Court 1,2020-04-08,21h55,22h55
Venue 3,Court 0,2020-04-08,16h05,18h05
Venue 3,Court 0,2020-04-08,18h20,21h55
Venue 3,Court 0,2020-04-08,21h55,22h55
Venue 3,Court 1,2020-04-08,17h25,20h00
Venue 3,Court 1,2020-04-08,20h20,22h25
Venue 0,Court 0,2020-04-09,10h25,14h55
Venue 0,Court 0,2020-04-09,16h50,20h00
Venue 0,Court 0,2020-04-09,20h05,21h35
Venue 0,Court 0,2020-04-09,21h40,22h40
Venue 1,Court 0,2020-04-09,15h20,16h30
Venue 1,Court 0,2020-04-09,16h35,21h20
Venue 1,Court 0,2020-04-09,21h40,22h45
Venue 2,Court 0,2020-04-09,08h30,10h15
Venue 2,Court 0,2020-04-09,14h40,22h15
Venue 2,Court 1,2020-04-09,15h55,19h30
Venue 2,Court 1,2020-04-09,20h20,22h00
Venue 3,Court 0,2020-04-09,10h00,16h05
Venue 3,Court 0,2020-04-09,21h55,22h55
Venue 3,Court 1,2020-04-09,11h50,22h10
Venue 0,Court 0,2020-04-10,08h25,15h55
Venue 0,Court 0,2020-04-10,17h15,22h25
Venue 1,Court 0,2020-04-10,12h05,20h35
Venue 1,Court 0,2020-04-10,21h05,22h35
Venue 2,Court 0,2020-04-10,20h00,21h55
Venue 2,Court 0,2020-04-10,21h55,22h55
Venue 2,Court 1,2020-04-10,15h05,16h45
Venue 2,Court 1,2020-04-10,21h15,22h15
Venue 3,Court 0,2020-04-10,13h10,15h25
Venue 3,Court 0,2020-04-10,19h40,22h15
Venue 3,Court 1,2020-04-10,21h05,22h10
Venue 0,Court 0,2020-04-11,10h15,13h25
Venue 0,Court 0,2020-04-11,17h35,22h45
Venue 1,Court 0,2020-04-11,14h25,20h25
Venue 1,Court 0,2020-04-11,21h45,22h45
Venue 2,Court 0,2020-04-11,16h05,21h45
Venue 2,Court 0,2020-04-11,21h50,22h50
Venue 2,Court 1,2020-04-11,14h35,17h30
Venue 2,Court 1,2020-04-11,19h15,20h25
Venue 2,Court 1,2020-04-11,20h35,22h40
Venue 3,Court 0,2020-04-11,21h40,22h40
Venue 3,Court 1,2020-04-11,18h45,22h45
Venue 0,Court 0,2020-04-12,13h50,21h30
Venue 0,Court 0,2020-04-12,21h30,22h50
Venue 1,Court 0,2020-04-12,11h40,19h35
Venue 1,Court 0,2020-04-12,20h20,22h15
Venue 2,Court 0,2020-04-12,10h15,19h50
Venue 2,Court 0,2020-04-12,20h05,21h05
Venue 2,Court 0,2020-04-12,21h15,22h20
Venue 2,Court 1,2020-04-12,14h00,15h15
Venue 2,Court 1,2020-04-12,16h05,18h20
Venue 2,Court 1,2020-04-12,19h15,22h15
Venue 3,Court 0,2020-04-12,15h45,18h30
Venue 3,Court 0,2020-04-12,21h30,22h40
Venue 3,Court 1,2020-04-12,09h05,11h05
Venue 3,Court 1,2020-04-12,13h50,15h50
Venue 3,Court 1,2020-04-12,20h00,22h30
Venue 0,Court 0,2020-04-13,09h35,13h00
Venue 0,Court 0,2020-04-13,19h05,20h15
Venue 0,Court 0,2020-04-13,21h00,22h30
Venue 1,Court 0,2020-04-13,11h45,17h05
Venue 1,Court 0,2020-04-13,19h10,22h05
Venue 2,Court 0,2020-04-13,14h10,21h15
Venue 2,Court 0,2020-04-13,21h20,22h25
Venue 2,Court 1,2020-04-13,20h15,21h15
Venue 2,Court 1,2020-04-13,21h30,22h40
Venue 3,Court 0,2020-04-13,20h10,22h00
Venue 3,Court 1,2020-04-13,14h15,22h20
Venue 0,Court 0,2020-04-14,12h10,14h15
Venue 0,Court 0,2020-04-14,14h45,20h45
Venue 0,Court 0,2020-04-14,20h50,21h55
Venue 0,Court 0,2020-04-14,21h55,22h55
Venue 1,Court 0,2020-04-14,12h15,15h30
Venue 1,Court 0,2020-04-14,20h30,21h30
Venue 1,Court 0,2020-04-14,21h55,22h55
Venue 2,Court 0,2020-04-14,15h35,21h35
Venue 2,Court 0,2020-04-14,21h45,22h50
Venue 2,Court 1,2020-04-14,19h20,20h55
Venue 2,Court 1,2020-04-14,21h50,22h50
Venue 3,Court 0,2020-04-14,08h35,20h30
Venue 3,Court 0,2020-04-14,21h05,22h25
Venue 3,Court 1,2020-04-14,13h40,20h55
Venue 3,Court 1,2020-04-14,21h50,22h50
Venue 0,Court 0,2020-04-15,14h20,19h55
Venue 0,Court 0,2020-04-15,21h35,22h35
Venue 1,Court 0,2020-04-15,19h45,21h25
Venue 1,Court 0,2020-04-15,21h30,22h40
Venue 2,Court 0,2020-04-15,21h05,22h15
Venue 2,Court 1,2020-04-15,19h05,21h30
Venue 2,Court 1,2020-04-15,21h45,22h45
Venue 3,Court 0,2020-04-15,21h20,22h30
Venue 3,Court 1,2020-04-15,15h15,22h00
Venue 0,Court 0,2020-04-16,20h20,21h25
Venue 0,Court 0,2020-04-16,21h35,22h40
Venue 1,Court 0,2020-04-16,21h05,22h25
Venue 2,Court 0,2020-04-16,15h45,21h05
Venue 2,Court 0,2020-04-16,21h20,22h30
Venue 2,Court 1,2020-04-16,15h00,16h10
Venue 2,Court 1,2020-04-16,18h30,22h45
Venue 3,Court 0,2020-04-16,08h30,20h50
