Team,Date,Constraint Type,Constraint Time,Weight
Div2 Team 34,2020-04-07,before,21h55,3
Div8 Team 1,2020-03-30,after,22h20,8
Div0 Team 8,2020-03-29,after,11h50,4
Div0 Team 22,2020-04-28,before,10h10,3
Div1 Team 41,2020-04-03,after,22h00,7
Div2 Team 21,2020-04-21,before,09h55,8
Div0 Team 28,2020-04-06,before,14h55,10
Div1 Team 26,2020-03-26,after,22h05,9
Div1 Team 30,2020-04-12,before,13h55,10
Div3 Team 32,2020-04-17,before,09h50,6
Div4 Team 11,2020-04-20,before,16h45,1
Div0 Team 4,2020-03-26,before,21h35,1
Div4 Team 38,2020-04-01,after,15h10,2
Div3 Team 48,2020-04-14,before,13h30,4
Div1 Team 25,2020-04-08,after,22h20,5
Div1 Team 4,2020-04-03,before,17h05,6
Div2 Team 46,2020-04-10,after,08h15,2
Div6 Team 12,2020-04-17,before,14h30,7
Div0 Team 31,2020-04-19,before,21h55,2
Div8 Team 2,2020-03-26,after,17h05,10
Div0 Team 9,2020-03-29,after,17h50,8
Div0 Team 29,2020-04-09,before,21h05,10
Div1 Team 17,2020-04-11,after,20h25,4
Div7 Team 10,2020-04-15,after,21h50,7
Div7 Team 2,2020-04-24,after,20h35,9
Div5 Team 1,2020-04-04,before,19h10,8
Div3 Team 31,2020-04-16,before,20h25,4
Div3 Team 34,2020-04-12,after,18h45,6
Div4 Team 35,2020-04-26,before,13h50,6
Div4 Team 21,2020-04-27,before,10h40,8
Div0 Team 6,2020-04-09,before,19h00,7
Div5 Team 13,2020-04-07,after,20h45,2
Div5 Team 19,2020-04-12,before,10h40,2
Div2 Team 14,2020-03-28,after,19h25,5
Div3 Team 50,2020-04-20,before,16h25,5
Div2 Team 51,2020-04-18,after,11h45,7
Div0 Team 29,2020-03-28,after,20h40,2
Div0 Team 18,2020-04-24,after,12h55,4
Div5 Team 26,2020-04-09,before,14h40,8
Div3 Team 53,2020-03-26,after,11h50,6
Div8 Team 13,2020-04-28,after,13h00,9
Div4 Team 24,2020-04-06,after,14h05,10
Div5 Team 17,2020-04-27,before,16h05,5
Div2 Team 12,2020-04-09,after,21h10,10
Div2 Team 18,2020-04-04,after,15h45,2
Div2 Team 37,2020-03-25,before,14h00,1
Div5 Team 0,2020-04-03,after,22h25,3
Div3 Team 31,2020-03-30,after,14h55,2
Div7 Team 13,2020-04-18,before,16h35,7
Div6 Team 9,2020-03-27,after,21h25,7
Div2 Team 0,2020-03-29,after,08h40,4
Div7 Team 3,2020-03-27,after,09h00,8
Div4 Team 26,2020-04-16,after,08h30,10
Div4 Team 27,2020-04-09,before,15h25,9
Div0 Team 40,2020-04-01,before,20h10,10
Div7 Team 19,2020-04-03,after,21h35,5
Div0 Team 16,2020-04-09,before,14h00,3
Div0 Team 22,2020-04-28,after,10h00,4
Div4 Team 19,2020-04-27,before,16h45,1
Div2 Team 41,2020-04-25,after,13h05,5
Div4 Team 11,2020-04-24,before,12h05,5
Div2 Team 58,2020-04-03,before,17h50,10
Div6 Team 3,2020-04-08,before,15h30,4
Div0 Team 24,2020-04-01,after,15h15,4
Div4 Team 11,2020-04-27,after,10h10,7
Div2 Team 14,2020-03-29,before,20h30,9
Div5 Team 27,2020-04-19,before,12h30,7
Div1 Team 42,2020-04-26,after,10h15,9
Div1 Team 34,2020-04-16,before,20h30,9
Div7 Team 4,2020-04-13,after,19h20,5
Div2 Team 25,2020-04-19,before,13h35,5
Div1 Team 38,2020-04-25,before,16h45,6
Div1 Team 39,2020-03-27,before,08h40,7
Div2 Team 56,2020-03-28,before,13h35,3
Div0 Team 19,2020-04-06,before,15h20,9
Div2 Team 29,2020-03-29,before,20h10,2
Div4 Team 28,2020-04-08,before,20h10,7
Div1 Team 32,2020-04-14,after,21h55,7
Div8 Team 0,2020-04-02,after,12h40,9
Div3 Team 36,2020-04-08,after,22h45,8
Div3 Team 43,2020-03-29,before,20h55,1
Div3 Team 11,2020-04-06,before,19h00,2
Div2 Team 27,2020-04-03,after,11h25,10
Div8 Team 0,2020-04-01,before,13h25,10
Div0 Team 3,2020-04-07,before,11h10,9
Div8 Team 9,2020-04-05,before,20h50,6
Div3 Team 49,2020-03-25,after,19h50,7
Div2 Team 56,2020-04-08,before,09h05,4
Div7 Team 20,2020-04-25,before,14h10,6
Div2 Team 19,2020-04-26,after,16h30,1
Div0 Team 14,2020-04-17,before,08h15,4
Div0 Team 40,2020-04-28,after,17h40,4
Div2 Team 15,2020-04-26,before,07h55,6
Div6 Team 7,2020-04-03,after,16h05,3
Div1 Team 21,2020-03-29,before,08h05,6
Div3 Team 0,2020-03-26,after,12h20,10
Div7 Team 19,2020-03-25,after,13h20,6
Div2 Team 22,2020-04-26,before,19h50,7
Div2 Team 42,2020-04-04,before,12h55,3
Div4 Team 27,2020-04-03,after,22h50,8
Div2 Team 16,2020-04-08,after,21h55,8
Div6 Team 11,2020-03-28,before,10h50,3
Div0 Team 19,2020-04-09,after,10h30,4
Div4 Team 23,2020-04-12,after,21h40,6
Div0 Team 3,2020-03-26,after,16h25,5
Div2 Team 15,2020-04-12,after,18h30,6
Div2 Team 4,2020-04-11,after,11h45,1
Div1 Team 21,2020-03-31,before,17h15,10
Div6 Team 2,2020-04-03,before,08h20,3
Div2 Team 4,2020-03-29,before,12h10,6
Div2 Team 51,2020-04-22,after,10h10,4
Div8 Team 8,2020-04-05,after,13h55,1
Div5 Team 20,2020-03-28,before,10h55,5
Div3 Team 37,2020-04-26,after,10h50,8
Div7 Team 14,2020-04-03,before,12h35,5
Div2 Team 47,2020-04-19,before,17h35,8
Div4 Team 39,2020-04-23,before,11h20,2
Div6 Team 13,2020-04-27,after,20h45,9
Div5 Team 9,2020-04-02,after,20h45,2
Div5 Team 14,2020-04-11,after,09h30,10
Div2 Team 34,2020-03-25,before,17h15,5
Div2 Team 2,2020-03-29,after,13h25,1
Div3 Team 28,2020-03-26,before,17h25,2
Div6 Team 9,2020-04-10,after,16h35,7
Div3 Team 17,2020-03-29,after,12h10,6
Div2 Team 58,2020-04-20,after,08h30,2
Div6 Team 9,2020-04-03,after,19h30,4
Div6 Team 26,2020-03-27,after,18h30,8
Div0 Team 0,2020-04-19,after,18h25,7
Div3 Team 4,2020-04-14,before,07h55,3
Div6 Team 25,2020-04-11,after,16h20,1
Div3 Team 6,2020-04-14,after,17h35,6
Div8 Team 7,2020-03-29,after,13h05,8
Div5 Team 4,2020-04-14,after,11h55,4
Div3 Team 0,2020-03-27,before,13h50,7
Div5 Team 23,2020-03-30,before,16h25,9
Div2 Team 56,2020-03-26,after,14h20,5
Div2 Team 38,2020-04-26,after,20h45,2
Div5 Team 19,2020-04-07,after,19h10,10
Div1 Team 41,2020-04-06,before,12h10,10
Div2 Team 40,2020-04-07,after,17h15,7
Div6 Team 8,2020-04-09,before,11h40,10
Div3 Team 19,2020-04-14,after,15h20,4
Div6 Team 9,2020-04-01,before,13h55,7
Div4 Team 14,2020-04-08,before,11h40,5
Div5 Team 9,2020-04-04,before,20h40,6
Div5 Team 2,2020-04-02,after,19h00,10
Div8 Team 2,2020-04-08,before,11h35,10
Div2 Team 52,2020-04-07,after,11h05,8
Div6 Team 16,2020-04-16,after,16h25,8
Div0 Team 23,2020-04-11,after,10h10,4
Div6 Team 19,2020-04-10,before,16h45,9
Div2 Team 61,2020-04-20,before,17h50,7
Div2 Team 56,2020-03-28,after,10h15,2
Div3 Team 29,2020-04-03,after,17h55,1
Div4 Team 1,2020-03-29,after,08h05,3
Div7 Team 13,2020-03-25,before,21h05,10
Div0 Team 5,2020-04-08,after,20h50,9
